date_time,vehicle_id,coord,gps_coord,spd,edge,lane,displacement,turn_angle,next_tls
2023-03-02 17:00:53.233,99,"[1892.1258692416993, 2054.4683815973176]","[114.32250964533637, 30.515173663364905]",71.14,-134626495,-134626495_0,1887.65,97.57,()
2023-03-02 17:00:53.223,99,"[1872.536948309376, 2057.0720918140437]","[114.32230505843658, 30.515192940145763]",69.57,-134626495,-134626495_0,1867.88,97.57,()
2023-03-02 17:00:53.214,99,"[1853.3801878642673, 2059.6183603432096]","[114.32210498497167, 30.515211791336593]",69.68,-134626495,-134626495_0,1848.56,97.57,()
2023-03-02 17:00:53.205,99,"[1834.1930339741525, 2062.1686686928215]","[114.3219045940238, 30.51523067212301]",64.45,-134626495,-134626495_0,1829.2,97.57,()
2023-03-02 17:00:53.195,99,"[1816.4452753021749, 2064.5276562418476]","[114.3217192360955, 30.515248136218602]",58.99,-134626495,-134626495_0,1811.3,97.57,()
2023-03-02 17:00:53.185,99,"[1800.2015316200764, 2066.6867338923767]","[114.32154958608822, 30.515264120102998]",50.65,-134626495,-134626495_0,1794.91,97.57,()
2023-03-02 17:00:53.176,99,"[1786.253819321725, 2068.5406288127065]","[114.32140391585136, 30.515277844507608]",43.16,-134626495,-134626495_0,1780.84,97.57,()
2023-03-02 17:00:53.166,99,"[1774.3682088067187, 2070.120434338333]","[114.32127978223201, 30.515289539694738]",36.73,-134626495,-134626495_0,1768.85,97.57,()
2023-03-02 17:00:53.157,99,"[1764.2538901818973, 2071.4648041905393]","[114.32117414801417, 30.515299491873776]",30.45,-134626495,-134626495_0,1758.65,97.57,()
2023-03-02 17:00:53.148,99,"[1755.8691730195915, 2072.579279756359]","[114.32108657778963, 30.515307742112064]",23.57,-134626495,-134626495_0,1750.19,88.68,()
2023-03-02 17:00:53.138,99,"[1749.47288348906, 2071.93385104127]","[114.32102014470821, 30.515300554366338]",22.81,:1734799580_8,:1734799580_8_0,1743.64,42.56,()
2023-03-02 17:00:53.129,99,"[1745.529996902841, 2067.1592146568114]","[114.32098027580186, 30.515256671350553]",38.0,161503553,161503553_0,1737.31,21.5,()
2023-03-02 17:00:53.119,99,"[1741.677599341499, 2057.335425247776]","[114.32094259801964, 30.515167294634658]",51.69,:1734799534_3,:1734799534_3_0,1726.75,19.39,()
2023-03-02 17:00:53.110,99,"[1736.9277938238795, 2043.7902867658033]","[114.32089649782515, 30.515044181466017]",58.03,231793617#3,231793617#3_0,1712.39,17.7,()
2023-03-02 17:00:53.100,99,"[1732.0275310230963, 2028.432320261891]","[114.32084927975382, 30.514904695228473]",51.26,231793617#3,231793617#3_0,1696.27,17.7,()
2023-03-02 17:00:53.091,99,"[1727.6992341923885, 2014.866958474687]","[114.32080757314638, 30.51478149002247]",60.81,231793617#3,231793617#3_0,1682.04,18.03,()
2023-03-02 17:00:53.080,99,"[1722.3778540534854, 1998.8418798702792]","[114.32075613604644, 30.514635900218046]",74.8,:2713731835_7,:2713731835_7_0,1665.14,17.03,()
2023-03-02 17:00:53.071,99,"[1716.3282210188709, 1978.9657891670422]","[114.32069806987305, 30.514455441394286]",81.82,231793617#2,231793617#2_0,1644.37,16.9,()
2023-03-02 17:00:53.036,99,"[1709.722111054923, 1957.218793739944]","[114.32063467322457, 30.5142579990261]",90.49,231793617#2,231793617#2_0,1621.64,16.9,()
